,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
805,Why Do We Do Things That Are Bad For Us?????,https://i.ytimg.com/vi/w40Z8aT5fpQ/default.jpg,375,"['How', 'much', 'money', 'does', 'make', 'black', 'ops', 'two', 'gameplay', 'prestige', 'mrbeast6000', 'why', 'do', 'we', 'things', 'that', 'are', 'bad', 'for', 'us', 'achohal', 'drugs', 'penis', 'stop', 'reading', 'this']",2015-05-14T23:52:57Z,58188,1823,266,3分24秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
806,How To Monetize Your Videos And Make Lots Of Youtube Money!!$$$,https://i.ytimg.com/vi/zgDezsMQyyU/default.jpg,528,"['How', 'much', 'money', 'does', 'make', 'black', 'ops', 'two', 'gameplay', 'prestige', 'mrbeast6000', 'youtube', 'partnership', 'how', 'to', 'get', 'it', 'paypal']",2015-05-10T20:59:50Z,58159,1648,324,10分23秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
807,Battle of The Beasts Round 2 Winners!,https://i.ytimg.com/vi/jGE1sUTeR5g/default.jpg,377,['mrbeast6000'],2015-07-01T04:02:27Z,58157,1487,329,14分7秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
808,How Much Money Does DramaAlert Make????,https://i.ytimg.com/vi/zfDr05ax0gM/default.jpg,517,"['How', 'much', 'money', 'does', 'make', 'black', 'ops', 'two', 'gameplay', 'prestige', 'mrbeast6000', 'drama', 'alert', 'dramalert', 'dramaAlert', 'theny', 'do']",2015-05-15T23:53:16Z,58151,1858,348,1分32秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
809,How Much Money Does FaZe Make?????,https://i.ytimg.com/vi/qFOGv5zuTdw/default.jpg,419,"['mrbeast6000', 'titanfall', 'money', 'does', 'call', 'of', 'duty', 'ghost', 'epic', 'must', 'see', 'insane', 'montage', 'hundred', 'plus', 'rediculous', 'kill', 'feed', 'multiplayer', 'confimed', 'oden', 'strike', 'amazing', 'spawn', 'trap']",2014-07-09T21:15:15Z,58100,1677,293,3分18秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
810,How To Become A Gaming Youtuber! All You Need To Know!,https://i.ytimg.com/vi/7Pr0HP-Trgk/default.jpg,738,"['mrbeast6000', 'howk', 'how', 'to', 'become', 'gaming', 'youtuber', 'all', 'you', 'need', 'know']",2015-07-08T22:00:01Z,58099,2063,451,7分2秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
811,Giving Away Two $15 Gift Cards (forgive me boyz),https://i.ytimg.com/vi/QJUs6CSRCFU/default.jpg,617,"['Mr.Beast', 'mr', 'beast', 'MrBeast6000']",2016-01-10T23:32:03Z,58096,3111,554,3分11秒,24,MrBeast,412000000,2012-02-20T00:43:50Z,883
812,"How Much Does ""Epic Rap Battles"" Make?????",https://i.ytimg.com/vi/HduubRTdko4/default.jpg,418,"['mrbeast6000', 'titanfall', 'money', 'does', 'call', 'of', 'duty', 'ghost', 'epic', 'must', 'see', 'insane', 'montage', 'hundred', 'plus', 'rediculous', 'kill', 'feed', 'multiplayer', 'confimed', 'oden', 'strike', 'amazing', 'spawn', 'trap']",2014-07-10T23:05:51Z,58069,1552,228,3分20秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
813,Battle Of The Beasts (youtubers needed),https://i.ytimg.com/vi/STvOHHgJ1sQ/default.jpg,406,"['How', 'much', 'money', 'does', 'make', 'black', 'ops', 'two', 'gameplay', 'prestige', 'mrbeast6000', 'battle of the beasts']",2015-06-17T20:58:19Z,58068,1499,341,3分3秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
814,Reuploading Other Youtubers Videos? Stealing Big Youtubers Videos.,https://i.ytimg.com/vi/2jWZtKTN6jU/default.jpg,581,"['Mr.Beast', 'mr', 'beast', 'stealing', 'big', 'youtubers', 'videos', 'pewdipie']",2015-07-30T18:23:18Z,58066,1531,247,4分14秒,20,MrBeast,412000000,2012-02-20T00:43:50Z,883
