,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
155,I Airdropped Airplane Tickets to Strangers (and took one to Japan!),https://i.ytimg.com/vi/_aWGPZSN7Wc/default.jpg,2368,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2023-03-26T15:30:07Z,2692965,105209,5763,25分46秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
156,"We ACCIDENTALLY built a $200,000 BACKYARD",https://i.ytimg.com/vi/2Z3776DLh9s/default.jpg,1241,"['ultimate backyard', 'expensive backyard', 'expensive house', 'ultimate house', 'ultimate home', 'extreme makover home edition', 'home makover', 'home improvement', 'diy home improvement', 'build a backyard', 'build a house', 'expensive house tour', 'beautiful houses', 'beautiful backyard', 'yes theory', 'yes theory snapchat', 'yes theory brother', 'amazing houses', 'awesome houses', 'home makeover fail', 'fixing up a backyard', 'how to fix my backyard', 'diy house building']",2017-06-18T19:03:06Z,2683709,96075,2416,12分29秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
157,We Went to the World's Biggest Party... Before the World Shut Down.,https://i.ytimg.com/vi/QTOGyd1ddvI/default.jpg,1969,"['yestheory', 'seek discomfort', 'Brazil carnaval', ""World's biggest party"", 'Brazil', 'Travel', '2020 travel', 'Yes theory party', 'Last party in the world', 'How to travel', 'Is brazil safe', 'Brazil 2020']",2020-07-19T17:00:05Z,2678704,154001,6174,14分25秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
158,Exploring Europe’s Most Isolated Village (dangerous & impossible journey),https://i.ytimg.com/vi/uFFZpLbvJqQ/default.jpg,2724,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2024-05-26T15:21:00Z,2671245,66532,2545,36分8秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
159,OLYMPIC MEDALIST BACKFLIPS OUT OF A HELICOPTER,https://i.ytimg.com/vi/e28dvalxUks/default.jpg,1108,"['fear of heights', 'red bull cliff diving', 'helicopter stunt', 'helicopter', 'helicopter crash', 'diving', 'diving fail', 'cliff diving fail', 'athlete stunt', 'tokyo 2020', 'tokyo diving 2020', 'american diving team', 'olympic accident', 'diving accident', 'big sur cliffs', 'flying stunt', 'skydive stunt', 'overcoming fear', 'overcoming fear of heights', 'how to get over your fear', 'fear inspiration', 'back flip fail', 'flip fail', 'yes theory', 'yes theory snapchat', 'skydiving fail', 'olympic diving']",2017-02-04T21:43:20Z,2652749,57060,1940,15分1秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
160,HANDCUFFED to Your Best Friend For 24 HOURS (LAXATIVES Prank Backfired!) | Yes Theory,https://i.ytimg.com/vi/R3EIIcGweFQ/default.jpg,1358,"['yes theory', 'yes theory snapchat', 'handcuffed', 'handcuffed for 24 hours', 'handcuffed together', '24 hour challenge', 'handcuffed buzzfeed', 'laxatives prank', 'laxatives challenge', 'laxatives prank gone wrong', 'handcuffed to myex', 'handcuffs', 'handcuffs challenge', '24 hours', 'handcuffed to best friend', 'best friend challenge', 'bestfriend goals', 'handcuffs prank', 'handcuffed challenge', '24 hour handcuffed', 'yes theory brother', 'handcuffing prank', 'handcuffing challenge', 'bffs get handcuffed']",2017-02-25T20:35:39Z,2648085,57324,1623,18分30秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
161,First Visit to the Country that Sold Me A Passport,https://i.ytimg.com/vi/QO7Ymd99RtY/default.jpg,2824,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2023-02-19T18:00:12Z,2639165,104902,23139,19分29秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
162,Surviving the Deadliest Military Training on Earth (Arctic Snow Soldiers),https://i.ytimg.com/vi/9HHI2EuZoWc/default.jpg,3047,"['yestheory', 'seek discomfort', 'yes theory strangers', 'yes theory travel', 'yes theory subscribers', 'getting out of your comfort zone', 'Amazon FBA']",2025-03-09T16:00:07Z,2626590,71686,4625,1時間7分15秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
163,300 Pound Music Millionaire to IRON MAN ATHLETE,https://i.ytimg.com/vi/CrKWjkGKcfk/default.jpg,2699,"['Weight loss', 'How to lose weight', 'best way to lose weight', 'body transformation', 'inspiring video to lose weight', 'Inspiration', 'Seek Discomfort', 'Charlie Jabaley', 'CEO Charlie', 'CEO MILLIONAIRES', 'Iron man', 'Iron man race', 'How to train for an iron man', '2chainz manager', 'how to train for a marathon', 'Running a marathon', 'Best motivation video', 'nike', 'nike colin kaepernick', 'nike colin kaepernick ad', 'iron man race', 'nike commercial', 'nike commercial reaction', 'nike commercial serena williams']",2018-01-01T18:12:39Z,2623495,112787,2630,7分50秒,24,Yes Theory,9490000,2014-01-13T16:59:30Z,425
164,ASKING BILLIONAIRES TO SWIM IN THEIR POOLS | YES THEORY,https://i.ytimg.com/vi/tATgj6bHwg8/default.jpg,818,"['yes theory', 'yes theory snapchat', 'yes theory brother', 'yes theory pool hopping', 'yes theory guys', 'brother channel snapchat', 'yes theory waxing', 'yes theory wax', 'yes theory mexico', 'yes theory boxing', 'yes theory rapping', 'yes theory comfort zones', 'beverly hills', 'billionaire', 'mansion', 'pool hopping', 'billionaire homes', 'millionaires mansion', 'billionaire mansion', 'top 10 billionaires mansions homes', 'billionaires mansions house', 'expensive house', 'expensive homes', 'house of billionaires 2016']",2016-08-26T18:57:03Z,2620145,41910,987,4分16秒,23,Yes Theory,9490000,2014-01-13T16:59:30Z,425
