,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
14,The Truth about Black Friday,https://i.ytimg.com/vi/_GvvJ5qmumI/default.jpg,359,"['black friday', 'black friday (holiday)', 'black friday sales', 'declutter', 'lifestyle', 'lifestyle design', 'minimalism', 'minimalist', 'simple living', 'simplicity', 'less', 'less stuff', 'black friday 2018', 'black friday haul', 'shopping', 'haul', 'stuff']",2018-11-19T13:00:10Z,3218246,155495,10548,9分38秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
15,I used a dumb phone for 30 days,https://i.ytimg.com/vi/C7G1pWYVtBg/default.jpg,921,"[""Matt D'Avella"", 'matt davella', 'self-development', 'creativity', 'health', 'wellness', 'lifestyle design', 'lifestyle', 'advice', 'dumbphone', 'dumb phone', 'minimalist phone', 'light phone', 'smartphone', 'smart phone']",2022-09-12T13:00:05Z,3012028,79305,2956,10分53秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
16,Decluttering for Messy People,https://i.ytimg.com/vi/LAtHvlPViJo/default.jpg,359,"['clutter', 'declutter', 'how to declutter', 'clean with me', 'how to', 'home organization', 'lifestyle', 'lifestyle design', 'minimalism', 'minimalist', 'simple living', 'simplicity']",2018-11-12T13:00:04Z,2820360,114968,2976,7分49秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
17,6 Things I Wish I Knew at 20,https://i.ytimg.com/vi/xEIRoc_WitI/default.jpg,600,[],2019-05-21T12:00:12Z,2785255,143526,5302,11分46秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
18,I meditated 1 hour every day for 30 days,https://i.ytimg.com/vi/BZqIya_7NQU/default.jpg,447,"['meditation', 'sam harris', 'meditate', 'meditation 1 hour a day', 'i meditated 1 hour every day for 30 days', 'i meditated everyday for 30 days', 'how to meditate', 'how to meditate for beginners', 'i meditated for 1 hour every day for 30 days', 'meditation for beginners', '30 day challenge', 'i meditated every day for 30 days (challenge)', 'meditating for 30 days', '30 days', 'how to meditate every day', 'i meditated for 30 days', 'matt davella', ""Matt D'Avella""]",2019-05-07T12:00:00Z,2687838,106253,5294,14分15秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
19,I wore the same shirt every day for 3 years.,https://i.ytimg.com/vi/NlcBA8s22BA/default.jpg,569,[],2020-10-15T21:10:04Z,2562760,72559,4136,10分47秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
20,She tried minimalism for a week.,https://i.ytimg.com/vi/kgMtMUDL51M/default.jpg,892,"['minimalism', 'minimalist', 'i tried minimalism for a week', 'minimalist lifestyle', 'trying minimalism for a week', 'minimalism for a week', 'becoming minimalist', 'minimalist for a week', 'i lived like a minimalist for a week', 'minimalist living', 'i tried minimalism', 'minimalism series', 'minimalism for women', 'minimalism for beginners', 'decluttering for a week', 'minimalist wardrobe', 'minimalist vlog', 'how to be a minimalist', ""matt d'avella"", 'courtney carver']",2020-03-03T19:00:03Z,2536209,81602,3272,14分59秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
21,"I walked 10,000 steps a day for 30 days",https://i.ytimg.com/vi/0URr_XkgAIE/default.jpg,1012,"[""Matt D'Avella"", 'matt davella', 'self-development', 'creativity', 'health', 'wellness', 'lifestyle design', 'lifestyle', 'advice']",2023-03-01T17:30:00Z,2444429,53733,2110,13分8秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
22,What minimalism really looks like...,https://i.ytimg.com/vi/jrf_dMnatW0/default.jpg,556,"['minimalism', 'lifestyle', 'lifestyle design', 'simple living', 'simple', 'declutter', 'minimalist', 'simplicity', 'minimalism and money', 'minimalism documentary', 'minimalism decluttering', 'decluttering', 'happiness', 'minimalism with kids', 'minimalism for beginners']",2018-12-04T00:39:28Z,2433723,80806,2270,8分32秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
23,5 things that help me avoid procrastination,https://i.ytimg.com/vi/cRpQOXV2cFg/default.jpg,1617,"['procrastination', 'how to avoid procrastination', 'stop procrastinating', 'get things done', 'overcome procrastination', 'tips to stop procratinating', 'procrastinating', 'self-development', 'simplicity', 'minimalism', 'do the work', 'steven pressfield', 'headphones', 'coffee', 'journaling', 'to do', 'to do list', 'productivity', 'the war of art', 'matt davella', ""Matt D'Avella""]",2020-04-14T20:15:03Z,2420275,116437,4518,9分40秒,1,Matt D'Avella,3940000,2011-07-25T12:31:50Z,458
