Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
the most MAGICAL lipstick I’ve EVER tried! 🤯,https://i.ytimg.com/vi/rpPgVXA0QYA/default.jpg,0,[],2023-01-17T18:28:25Z,18151824,1144771,4467,52秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
trying the most MAGICAL pigment ever! 🪄✨,https://i.ytimg.com/vi/EwViKKvlGY8/default.jpg,0,[],2023-06-13T15:07:40Z,17359221,1171440,3632,57秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
the most MAGICAL blue pigment ever! 🩵,https://i.ytimg.com/vi/vvpCPMGh4Gc/default.jpg,0,[],2023-12-18T17:57:41Z,17342924,1031729,5250,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
trying LACE Lips!! 🖤,https://i.ytimg.com/vi/nuaR9oqbpj8/default.jpg,0,[],2025-04-01T18:39:01Z,17175033,835844,2838,1分9秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Me and my 3 chins are very happy with this hack! 😅,https://i.ytimg.com/vi/KNYuz0cH43o/default.jpg,0,[],2022-08-02T15:05:07Z,16973333,1164833,7503,59秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
trying a matte lipstick that becomes GLITTERY?! 🫢,https://i.ytimg.com/vi/qSSjXgeWbVg/default.jpg,0,[],2023-11-04T18:01:02Z,16220784,1021240,3507,59秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
POWER OF MAKEUP: Adele! | NikkieTutorials,https://i.ytimg.com/vi/qY3L1bPNBAw/default.jpg,1623,"['adele', 'adele easy on me', 'easy on me', '30', 'adele 30', 'adele live', 'adele album', 'someone like you', 'rolling in the deep', 'adele oprah', 'adele music video', 'music', 'music video', 'album', 'live', 'carpool karaoke', 'hello', 'lyrics', 'adele lyrics', 'emotional', 'nikkietutorials adele', 'nikkie adele', 'nikkie tutorials', 'nikki tutorials', 'nikkitutorials', 'power of makeup', 'kim kardashian', 'before and after', 'beauty', 'makeup', 'transformation', 'no makeup', 'adele without makeup', 'official video', '25']",2021-12-02T19:00:01Z,16179184,658089,15579,29分51秒,24,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
NikkieTutorials: Layers Of Me | Official Trailer,https://i.ytimg.com/vi/LMYhnC1sVXY/default.jpg,308,"['NikkieTutorials', 'make up', 'MUD', 'transgender', 'lgbtq', 'makeup', 'marc jacobs beauty', 'nikkie de jager', 'layers of me', 'cancer', 'blackmail']",2020-12-21T17:00:11Z,15678298,132717,4203,1分45秒,24,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Get Glam With SELENA GOMEZ & Me! | NikkieTutorials,https://i.ytimg.com/vi/GUJqRkBEEY4/default.jpg,1629,"['selena gomez', 'selena gomez makeup', 'selena', 'gomez', 'selena gomez rare', 'rare', 'rare beauty', 'selena gomez makeup routine', 'vogue', 'blackpink', 'ice cream', 'selena gomez makeup tutorial', 'get ready with me', 'get ready with me selena gomez', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'nikkietutorials selena', 'nikkietutorials selena gomez', 'drama', 'review', 'rare beauty review', 'honest', 'selenator', 'boyfriend', 'ex', 'justin bieber', 'james charles', 'jeffree star', 'music video']",2020-09-06T16:59:59Z,15478682,698147,23687,33分46秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Side by Side + Jessie J,https://i.ytimg.com/vi/SOoauHBpcbU/default.jpg,2088,"['jessie', 'jessie j', 'get ready with me', 'get ready', 'get ready with me + jessie j', 'flashlight', 'flashlight jessie', 'bang bang', ""nobody's perfect"", 'music', 'sing', 'live', 'music video', 'makep', 'makeup tutorial', 'tutorial', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'how to', 'how to apply', 'personal', 'funny', 'makeup talk', 'get ready with us', 'celebrity', 'london', 'ipsy', 'makeup forever', 'mufe', 'glow', 'glowy', 'flawless', 'cosmetics', 'beauty guru', 'fails', 'epic fail', 'universal']",2017-02-13T21:00:21Z,14983680,568652,24489,19分18秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Is this the BEST BLUSH of 2022? 👀,https://i.ytimg.com/vi/WIfskmLcWWk/default.jpg,0,[],2023-01-02T19:35:53Z,14974395,938869,3072,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
FULL FACE USING ONLY LIQUID LIPSTICKS Challenge | NikkieTutorials,https://i.ytimg.com/vi/8lPg4Ur4LmM/default.jpg,3263,"['full face using only liquid lipsticks challenge', 'liquid lipsticks only makeup challenge', 'challenge', 'makeup challenge', 'makeup', 'lipstick', 'liquid lipstick', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'glowy', 'glow', 'dewy', 'jeffree star', 'jeffree star velour liquid lipstick', 'ofra', 'ofra liquid lipstick', 'milani', 'milani amore matte metallic', 'lilly lashes', 'tutorial', 'makeup tutorial', 'how-to', 'how to apply', 'contouring', 'cosmetics', 'look', 'beauty', 'transformation', 'extreme', 'easy', 'glam', 'glamour']",2016-06-26T19:58:49Z,13834729,371962,26370,11分11秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
EXTREME HOLIDAY GLAM TRANSFORMATION!,https://i.ytimg.com/vi/r1x0X5PCYak/default.jpg,3096,"['extreme holiday glam transformation', 'extreme transformation', 'transformation', 'extreme', 'holiday', 'holidays', 'holiday makeup', 'holiday makeup tutorial', 'makeup tutorial', 'makeup', 'tutorial', 'red lipstick', 'red lips', 'winged liner', 'winged eyeliner', 'glitter liner', 'ombre glitter liner', 'fenty', 'fenty beauty', 'fenty beauty lipstick', 'lipstick', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'how to', 'how to apply', 'beauty', 'look', 'cosmetics', 'giveaway', 'foundation', 'christmas', 'santa', 'christmas makeup']",2017-12-16T20:00:32Z,13802897,476394,77677,12分55秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
LABUBUS Pick My Makeup Look! 🖤🌈✨,https://i.ytimg.com/vi/Bsb_bt6o8BE/default.jpg,0,[],2025-06-18T18:54:27Z,13096523,659874,5184,2分54秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Contour based on SCIENCE?! 🧪,https://i.ytimg.com/vi/u1u7nogFwFg/default.jpg,0,[],2023-10-22T15:29:27Z,12651192,764848,2884,59秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
FULL FACE USING ONLY HIGHLIGHTERS Challenge | NikkieTutorials,https://i.ytimg.com/vi/9Uv1RnuyCfY/default.jpg,3705,"['full face using only highlighters challenge', 'highlighters only makeup challenge', 'challenge', 'makeup challenge', 'makeup', 'highlight', 'highlighter', 'glowy', 'glow', 'dewy', 'jeffree star', 'blinding', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'how-to', 'how to apply', 'how to get glowy', 'cosmetics', 'look', 'beauty', 'skin frost', 'red lips', 'red lips tutorial', 'false lashes', 'summer glow', 'contour', 'bronzer', 'lipstick', 'foundation', 'transformation', 'before', 'after', 'extreme', 'easy', 'natural', 'beautiful', 'gorgeous', 'pretty', 'lit']",2016-06-01T19:59:59Z,12625713,248376,15634,9分6秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
